vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,8812,154.673,106,19
0,0,0,8813,154,106,19.86
0,0,0,8814,154.911,107,19
0,0,0,8815,155,107.373,19
-0,-0,-0,8816,155.149,108,19
-0,-0,-0,8817,155,108,19.1906
-0,-0,-0,8818,155.387,109,19
-0,-0,-0,8819,155,109,19.4943
-0,-0,-0,8820,155.625,110,19
-0,-0,-0,8821,155,110,19.7981
0,0,0,8822,155.863,111,19
0,0,0,8823,156,111.576,19
0,0,0,8824,156.101,112,19
0,0,0,8825,156,112,19.1287
0,0,0,8826,156.339,113,19
0,0,0,8827,156,113,19.4325
0,0,0,8828,156.577,114,19
0,0,0,8829,156,114,19.7363
0,0,0,8830,156.814,115,19
0,0,0,8831,157,115.78,19
0,0,0,8832,157.052,116,19
0,0,0,8833,157,116,19.0668
0,0,0,8834,157.29,117,19
0,0,0,8835,157,117,19.3706
0,0,0,8836,157.528,118,19
0,0,0,8837,157,118,19.6744
0,0,0,8838,157.766,119,19
0,0,0,8839,157,119,19.9782
0,0,0,8840,158,119.984,19
0,0,0,8841,158.004,120,19
0,0,0,8842,158,120,19.005
0,0,0,8843,158.242,121,19
0,0,0,8844,158,121,19.3087
0,0,0,8845,158.48,122,19
0,0,0,8846,158,122,19.6125
0,0,0,8847,158.718,123,19
0,0,0,8848,158,123,19.9163
0,0,0,8849,158.955,124,19
0,0,0,8850,159,124.187,19
0,0,0,8851,159.193,125,19
0,0,0,8852,159,125,19.2469
0,0,0,8853,159.431,126,19
0,0,0,8854,159,126,19.5507
0,0,0,8855,159.669,127,19
0,0,0,8856,159,127,19.8544
0,0,0,8857,159.907,128,19
0,0,0,8858,160,128.391,19
0,0,0,8859,160.145,129,19
0,0,0,8860,160,129,19.185
0,0,0,8861,160.383,130,19
0,0,0,8862,160,130,19.4888
0,0,0,8863,160.621,131,19
0,0,0,8864,160,131,19.7926
0,0,0,8865,160.859,132,19
-0,-0,-0,9259,153.415,104,20
-0,-0,-0,9260,153,104,20.5294
-0,-0,-0,9261,153.652,105,20
-0,-0,-0,9262,153,105,20.8332
-0,-0,-0,9263,153.89,106,20
-0,-0,-0,9264,154,106.461,20
-0,-0,-0,9265,154.128,107,20
-0,-0,-0,9266,154,107,20.1638
-0,-0,-0,9267,154.366,108,20
0,0,0,9268,154,108,20.4676
-0,-0,-0,9269,154.604,109,20
-0,-0,-0,9270,154,109,20.7714
-0,-0,-0,9271,154.842,110,20
0,0,0,9272,155,110.665,20
0,0,0,9273,155.08,111,20
0,0,0,9274,155,111,20.1019
0,0,0,9275,155.318,112,20
0,0,0,9276,155,112,20.4057
0,0,0,9277,155.556,113,20
0,0,0,9278,155,113,20.7095
0,0,0,9279,155.793,114,20
0,0,0,9280,156,114.868,20
0,0,0,9281,156.031,115,20
0,0,0,9282,156,115,20.04
0,0,0,9283,156.269,116,20
0,0,0,9284,156,116,20.3438
0,0,0,9285,156.507,117,20
0,0,0,9286,156,117,20.6476
0,0,0,9287,156.745,118,20
0,0,0,9288,156,118,20.9514
0,0,0,9289,156.983,119,20
0,0,0,9290,157,119.072,20
0,0,0,9291,157.221,120,20
0,0,0,9292,157,120,20.282
0,0,0,9293,157.459,121,20
0,0,0,9294,157,121,20.5857
0,0,0,9295,157.697,122,20
0.0794519,0.240141,0.142202,9296,157,122,20.8895
0,0,0,9297,157.934,123,20
0,0,0,9298,158,123.275,20
0,0,0,9299,158.172,124,20
0,0,0,9300,158,124,20.2201
-0,-0,-0,9301,158.41,125,20
0,0,0,9302,158,125,20.5239
0,0,0,9303,158.648,126,20
0,0,0,9304,158,126,20.8277
0,0,0,9305,158.886,127,20
0,0,0,9306,159,127.479,20
0,0,0,9307,159.124,128,20
0,0,0,9308,159,128,20.1582
0,0,0,9309,159.362,129,20
0,0,0,9310,159,129,20.462
0,0,0,9311,159.6,130,20
0,0,0,9312,159,130,20.7658
0,0,0,9313,159.838,131,20
0,0,0,9314,160,131.683,20
0,0,0,9315,160.075,132,20
0,0,0,9316,160,132,20.0964
0,0,0,9318,160,133,20.4001
-0,-0,-0,9708,152.156,102,21
-0,-0,-0,9709,152,102,21.1989
-0,-0,-0,9710,152.394,103,21
-0,-0,-0,9711,152,103,21.5027
-0,-0,-0,9712,152.632,104,21
-0,-0,-0,9713,152,104,21.8064
-0,-0,-0,9714,152.869,105,21
0,0,0,9715,153,105.549,21
0,0,0,9716,153.107,106,21
0,0,0,9717,153,106,21.137
-0,-0,-0,9718,153.345,107,21
-0,-0,-0,9719,153,107,21.4408
0,0,0,9720,153.583,108,21
0,0,0,9721,153,108,21.7446
-0,-0,-0,9722,153.821,109,21
-0,-0,-0,9723,154,109.753,21
-0,-0,-0,9724,154.059,110,21
-0,-0,-0,9725,154,110,21.0751
-0,-0,-0,9726,154.297,111,21
-0,-0,-0,9727,154,111,21.3789
0,0,0,9728,154.535,112,21
0,0,0,9729,154,112,21.6827
0,0,0,9730,154.773,113,21
0,0,0,9731,154,113,21.9865
0,0,0,9732,155,113.956,21
0,0,0,9733,155.01,114,21
